"id","FUND_TYPE_ID","marker"
"0","1171","*"
"1","1230","*"
"2","1235","*"
"3","1236","*"
"4","1237","*"
"5","1242","*"
"6","1247","*"
"7","1249","*"
"8","1260","*"
"9","1263","*"
"10","1265","*"
"11","1266","*"
"12","1270","*"
"13","1278","*"
"14","1280","*"
"15","1281","*"
"16","1287","*"
"17","1293","*"
"18","1297","*"
"19","1300","*"
"20","1312","*"
"21","1313","*"
"22","28","**"
"23","70","**"
"24","85","**"
"25","86","**"
"26","89","**"
"27","91","**"
"28","108","**"
"29","125","**"
"30","129","**"
"31","139","**"
"32","143","**"
"33","146","**"
"34","148","**"
"35","154","**"
"36","155","**"
"37","169","**"
"38","171","**"
"39","187","**"
"40","210","**"
"41","222","**"
"42","258","**"
"43","263","**"
"44","276","**"
"45","277","**"
"46","278","**"
"47","279","**"
"48","280","**"
"49","293","**"
"50","323","**"
"51","334","**"
"52","359","**"
"53","363","**"
"54","371","**"
"55","466","**"
"56","469","**"
"57","470","**"
"58","480","**"
"59","482","**"
"60","483","**"
"61","496","**"
"62","501","**"
"63","503","**"
"64","508","**"
"65","513","**"
"66","523","**"
"67","534","**"
"68","550","**"
"69","555","**"
"70","556","**"
"71","557","**"
"72","575","**"
"73","576","**"
"74","591","**"
"75","619","**"
"76","628","**"
"77","745","**"
"78","1179","**"
"79","1205","**"
"80","1215","**"
"81","1239","**"
"82","1248","**"
"83","1269","**"
"84","1279","**"
"85","1285","**"
